code,name,qr,order
4602509005140,Амоксициллин 250 мг 20 шт. таблетки,,2
4602212012275,Аскорбиновая кислота 100 мг/мл раствор для внутривенного и внутримышечного введения 5 мл ампулы 10 шт.,,1
4603988018942,Ацетилсалициловая кислота реневал 500 мг 20 шт. таблетки шипучие,,1
3800003323963,Беррилакт 30 шт. пакет-саше массой 1300 мг,,2
4601214000167,Боярышника плоды пакет плоды цельные 50 гр,,4
4607083726023,Веромистин daily средство для гигиенической обработки кожи рук и ног 150 мл,,1
8020030091184,Вессел дуэ ф 250 ле 60 шт. капсулы,,3
4603988017679,Витамин е renewal 60 шт. капсулы массой 330 мг,,2
4605286000698,Виферон 150000 МЕ 10 шт. суппозитории ректальные,,4
4605286000704,Виферон 500000 МЕ 10 шт. суппозитории ректальные,,1
5200000020427,"Дементис 10 мг 28 шт. таблетки, покрытые пленочной оболочкой",,4
4601669013866,Доксициклин экспресс 100 мг 10 шт. таблетки диспергируемые,,4
4603679000881,Ингалипт аэрозоль для местного применения 30 мл,,1
4607022750430,"Индапамид 2,5 мг 30 шт. капсулы",,3
4605095011656,"Ксилен актив 0,1% флакон спрей назальный 15 гр",,4
4607020333543,"Лозартан 100 мг 90 шт. таблетки, покрытые пленочной оболочкой",,2
4670001384995,Магний+в 6 60 шт. таблетки по 650 мг,,1
4605048004865,Мастопол 60 шт. таблетки подъязычные,,3
4606486008767,"Мексив 6 125 мг + 10 мг 30 шт. таблетки, покрытые пленочной оболочкой",,1
4603276010467,"Мемантин авексима 10 мг 30 шт. таблетки, покрытые пленочной оболочкой",,4
4602509002088,Метилурацил 500 мг 50 шт. таблетки,,4
4602509026268,Метоклопрамид 5 мг/мл раствор для внутривенного и внутримышечного введения 2 мл ампулы 10 шт.,,3
4660007810956,Метформин 850 мг 60 шт. блистер таблетки,,2
4607055130254,"Нолицин 400 мг 10 шт. таблетки, покрытые пленочной оболочкой",,2
4603988017839,Омега-3 дуо renewal 60 шт. капсулы массой 1300 мг,,3
4607022750478,Омепразол 20 мг 30 шт. капсулы,,3
7290106064195,"Ордисс н 12,5 мг + 16 мг 30 шт. таблетки",,1
4603184004343,Отиндол флакон-капельница капли ушные 15 мл,,2
4605370020656,Панавир интим нормафлор спрей 40 мл,,1
8902034102052,Пирантел 250 мг 3 шт. таблетки,,2
4603988012674,Преднизолон буфус 30 мг/мл раствор для внутривенного и внутримышечного введения 1 мл ампулы 10 шт.,,2
4603988002576,"ПРЕДНИЗОЛОН РЕНЕВАЛ 0,005 N100 ТАБЛ",,3
4602509023212,"Редуксин 15 мг + 153,5 мг 30 шт. капсулы",,4
4690655011726,"Силденафил-сз 100 мг 10 шт. таблетки, покрытые пленочной оболочкой",,3
1977813217002,Стиллавит раствор увлаж д/уход за глаз 10 мл,,4
4604060001845,Таблетки от кашля 30 шт.,,2
4603695000568,"Трилептал 150 мг 50 шт. таблетки, покрытые пленочной оболочкой",,4
3585552591710,Упсарин упса 500 мг 16 шт. таблетки шипучие,,1
8024790091019,Ферлатум 800 мг раствор для приема внутрь 15 мл флакон 20 шт.,,1
8433042001407,Цераксон 500 МГ/4МЛ раствор для внутривенного и внутримышечного введения ампулы 5 шт.,,3
5995327143743,Эгипрес 5 мг + 10 мг 30 шт. капсулы,,2
4260142420333,Эрмиталь 10000 ЕД 20 шт. капсулы,,3
3499320010696,"Этривекс 0,05% флакон шампунь 60 мл",,3
4660011213675,Янтарная кислота таблетки 100мг 20 шт.,,4
4620018872923,Velvet крем- депилятор для чувствительной кожи деликатных зон 100 мл,,1